Method,dataset,Threshold,Method_Threshold,nl,ei1,ei2,fp,fn,data,rf,
Astral,100,_4,Astral_4,26,23,23,13,13,Astral100_4,0.565217391,
Astral,100,_4,Astral_4,26,23,23,10,10,Astral100_4,0.434782609,
Astral,100,_4,Astral_4,26,23,23,15,15,Astral100_4,0.652173913,
svd,100,_4,svd_4,26,23,23,11,11,svd100_4,0.47826087,
svd,100,_4,svd_4,26,23,23,6,6,svd100_4,0.260869565,
svd,100,_4,svd_4,26,23,23,13,13,svd100_4,0.565217391,
svd,100,_4,svd_4,26,23,23,9,9,svd100_4,0.391304348,
svd,100,_4,svd_4,26,23,23,17,17,svd100_4,0.739130435,
usa,100,_4,usa_4,26,15,23,17,9,usa100_4,0.684210526,
usa,100,_4,usa_4,26,20,23,18,15,usa100_4,0.76744186,
usa,100,_4,usa_4,26,20,23,13,10,usa100_4,0.534883721,
usa,100,_4,usa_4,25,18,22,14,10,usa100_4,0.6,
usa,100,_4,usa_4,26,17,23,16,10,usa100_4,0.65,
Astral,500,_4,Astral_4,26,23,23,8,8,Astral500_4,0.347826087,
Astral,500,_4,Astral_4,26,23,23,4,4,Astral500_4,0.173913043,
Astral,500,_4,Astral_4,26,23,23,5,5,Astral500_4,0.217391304,
Astral,500,_4,Astral_4,26,23,23,9,9,Astral500_4,0.391304348,
Astral,500,_4,Astral_4,7,4,4,3,3,Astral500_4,0.75,
svd,500,_4,svd_4,26,23,23,8,8,svd500_4,0.347826087,
svd,500,_4,svd_4,26,23,23,5,5,svd500_4,0.217391304,
svd,500,_4,svd_4,26,23,23,6,6,svd500_4,0.260869565,
svd,500,_4,svd_4,26,23,23,3,3,svd500_4,0.130434783,
svd,500,_4,svd_4,26,23,23,11,11,svd500_4,0.47826087,
usa,500,_4,usa_4,26,19,23,9,5,usa500_4,0.333333333,
usa,500,_4,usa_4,26,19,23,16,12,usa500_4,0.666666667,
usa,500,_4,usa_4,26,20,23,6,3,usa500_4,0.209302326,
usa,500,_4,usa_4,26,21,23,5,3,usa500_4,0.181818182,
usa,500,_4,usa_4,26,18,23,10,5,usa500_4,0.365853659,
usa,500,_4,usa_4,7,4,4,3,3,usa500_4,0.75,
Astral,50,_4,Astral_4,26,23,23,16,16,Astral50_4,0.695652174,
Astral,50,_4,Astral_4,26,23,23,17,17,Astral50_4,0.739130435,
Astral,50,_4,Astral_4,5,2,2,2,2,Astral50_4,1,
Astral,50,_4,Astral_4,5,2,2,2,2,Astral50_4,1,
Astral,50,_4,Astral_4,7,4,4,3,3,Astral50_4,0.75,
svd,50,_4,svd_4,26,23,23,12,12,svd50_4,0.52173913,
svd,50,_4,svd_4,26,23,23,11,11,svd50_4,0.47826087,
svd,50,_4,svd_4,26,23,23,14,14,svd50_4,0.608695652,
svd,50,_4,svd_4,26,23,23,15,15,svd50_4,0.652173913,
svd,50,_4,svd_4,26,23,23,17,17,svd50_4,0.739130435,
usa,50,_4,usa_4,19,13,16,12,9,usa50_4,0.724137931,
usa,50,_4,usa_4,15,9,12,9,6,usa50_4,0.714285714,
usa,50,_4,usa_4,5,2,2,2,2,usa50_4,1,
usa,50,_4,usa_4,5,2,2,2,2,usa50_4,1,
usa,50,_4,usa_4,7,3,4,4,3,usa50_4,1,
Astral,250,_4,Astral_4,26,23,23,11,11,Astral250_4,0.47826087,
Astral,250,_4,Astral_4,26,23,23,9,9,Astral250_4,0.391304348,
Astral,250,_4,Astral_4,26,23,23,12,12,Astral250_4,0.52173913,
Astral,250,_4,Astral_4,26,23,23,8,8,Astral250_4,0.347826087,
Astral,250,_4,Astral_4,7,4,4,4,4,Astral250_4,1,
svd,250,_4,svd_4,26,23,23,7,7,svd250_4,0.304347826,
svd,250,_4,svd_4,26,23,23,6,6,svd250_4,0.260869565,
svd,250,_4,svd_4,26,23,23,6,6,svd250_4,0.260869565,
svd,250,_4,svd_4,26,23,23,5,5,svd250_4,0.217391304,
svd,250,_4,svd_4,26,23,23,11,11,svd250_4,0.47826087,
usa,250,_4,usa_4,26,19,23,13,9,usa250_4,0.523809524,
usa,250,_4,usa_4,26,18,23,10,5,usa250_4,0.365853659,
usa,250,_4,usa_4,16,11,13,4,2,usa250_4,0.25,
usa,250,_4,usa_4,26,22,23,9,8,usa250_4,0.377777778,
usa,250,_4,usa_4,7,3,4,4,3,usa250_4,1,
